-15.753, 0.053, -1.153, 2.180, 0.840, 1.726, 0.162, -0.152, -1.213, -0.495, 0.086, 0.688, 11.658,?
-17.171, -0.513, -2.415, -0.177, -0.822, -0.203, 0.210, -3.183, -4.019, 0.637, 0.876, 3.639, 14.967,?
-19.021, -0.001, -1.439, -1.844, -2.393, 1.164, 5.282, -1.487, -6.082, -0.722, -1.041, 2.586, 16.895,?
-18.895, 0.927, 0.760, -2.609, -3.301, 0.945, 5.499, 5.568, 1.901, -0.934, -3.865, -2.473, 17.824,?
-17.069, 0.882, -0.890, -2.932, -1.415, 0.034, 1.372, 3.944, 4.324, -0.924, -1.541, -3.089, 17.986,?
-16.707, -0.050, -2.342, -2.340, -4.504, 1.729, 1.181, 1.131, 1.070, -3.691, 0.995, -1.755, 19.033,?
-16.871, -0.744, -0.833, -2.189, -5.452, 2.101, -2.325, -0.446, 1.104, -0.199, 0.530, -0.728, 20.612,?
-16.839, -1.879, -2.307, -3.676, -4.048, 0.456, -2.979, 1.858, 2.543, 4.560, 1.648, 0.842, 21.270,?
-17.992, -1.077, -1.976, -2.933, -1.668, 0.475, 1.706, 3.220, 2.648, 4.916, 3.536, 3.333, 22.071,?
-17.454, -1.030, -1.537, 0.781, 1.863, -0.047, 2.677, 1.208, 0.279, 3.122, 3.547, 7.718, 25.221,?
-13.981, 1.884, 0.931, 3.017, 5.983, 2.340, 3.713, 0.942, -1.586, 5.328, 2.710, 4.411, 28.933,?
-12.164, 4.851, 4.987, 5.912, 9.012, 5.262, 4.841, 2.765, 0.128, 7.836, 2.111, 1.964, 30.970,?
-11.771, 5.444, 4.408, 5.932, 9.318, 5.956, 4.107, 6.458, 0.248, 7.682, 5.341, 0.674, 33.609,?
-13.162, 4.459, 5.782, 8.505, 8.395, 7.052, 5.886, 9.239, 0.706, 6.405, 8.529, 0.478, 35.561,?
-14.338, 5.788, 7.926, 10.173, 6.420, 9.865, 6.143, 11.945, 5.342, 5.259, 11.069, 3.064, 36.184,?
-13.158, 7.384, 6.154, 8.220, 6.386, 13.756, 7.362, 10.092, 7.096, 3.563, 9.029, 2.649, 37.378,?
-11.994, 8.292, 3.584, 6.835, 8.861, 14.024, 5.787, 5.743, 5.815, 6.345, 5.804, -0.323, 38.558,?
-9.006, 8.886, 2.663, 4.000, 2.630, 7.984, -0.207, 2.843, 5.030, 11.742, 3.614, -5.057, 40.065,?
-6.001, 5.251, -1.869, -1.716, -4.726, 4.296, -1.457, 7.307, -2.932, 2.558, 1.677, -4.525, 41.909,?
-7.239, -1.166, -3.473, -3.641, -8.860, 1.674, 1.830, 11.590, -9.116, -6.670, 6.513, -6.330, 45.557,?
-5.716, 0.615, 1.651, -1.383, -10.248, -2.896, -1.450, 7.356, -11.026, -8.088, 7.049, -7.576, 50.697,?
-2.043, -1.825, -0.265, -7.844, -16.014, -5.090, -3.308, 4.173, -10.548, -6.506, -1.604, -9.622, 60.862,?
-2.449, -5.280, -1.674, -12.733, -19.210, -6.595, -2.933, 2.632, -13.060, -5.552, -4.131, -12.122, 68.576,?
-3.422, -5.235, -1.574, -12.956, -19.328, -5.528, 2.132, 1.302, -13.208, -2.789, -5.620, -12.297, 72.277,?
-4.857, -5.731, -2.455, -13.131, -20.436, -4.086, 5.159, -0.606, -15.307, -1.804, -8.464, -13.508, 72.815,?
-5.802, -6.166, -2.598, -13.169, -20.632, -3.474, 3.333, -0.732, -15.879, -3.062, -10.469, -13.406, 72.962,?
-7.019, -5.861, -4.075, -13.350, -20.668, -3.169, -0.916, -0.294, -15.533, -7.713, -9.888, -13.965, 73.565,?
-7.775, -5.829, -5.436, -13.818, -20.742, -2.813, -4.313, -0.391, -14.605, -11.003, -9.322, -14.310, 73.887,?
-7.730, -4.027, -3.989, -12.785, -19.185, -0.095, -4.096, 2.036, -10.645, -10.249, -6.768, -11.364, 74.564,?
-7.900, -4.172, -3.665, -14.158, -20.083, -0.446, -7.273, 2.575, -10.119, -12.007, -7.417, -10.780, 74.474,?
-7.853, -4.660, -4.078, -15.795, -21.022, -1.956, -11.194, 4.539, -12.615, -12.862, -8.737, -10.999, 73.996,?
-7.652, -4.789, -4.781, -17.164, -23.022, -3.209, -15.045, 5.229, -15.623, -12.592, -8.214, -12.067, 73.428,?
-6.150, -3.344, -2.834, -15.331, -24.429, -2.913, -17.002, 7.443, -15.191, -9.373, -6.458, -10.820, 72.252,?
-5.329, -3.155, -2.258, -14.841, -26.655, -6.621, -18.608, 5.996, -15.640, -9.326, -7.299, -12.176, 69.899,?
