-5.825, -16.263, -12.818, -3.982, -0.456, -5.906, 2.784, -3.942, 6.948, -16.105, -1.660, 13.175, 66.173, ?
-8.436, -16.592, -7.456, -6.696, 3.968, -10.189, 8.393, -5.761, 3.125, -16.710, -2.704, 12.309, 71.466, ?
-10.218, -16.418, -6.976, -5.886, 5.581, -11.365, 10.100, -5.066, 3.459, -18.153, -1.433, 15.752, 75.016, ?
-9.664, -15.300, -7.960, -5.625, 7.653, -10.987, 10.434, -3.862, 4.688, -19.932, -0.383, 17.929, 75.915, ?
-7.973, -13.814, -10.536, -4.662, 7.844, -10.456, 10.153, -4.803, 5.482, -22.127, -0.099, 15.160, 75.625, ?
-7.191, -12.678, -13.440, -3.086, 7.337, -7.477, 8.561, -2.262, 5.467, -22.438, -1.384, 14.542, 74.806, ?
-5.662, -11.885, -16.699, -2.855, 6.214, -5.637, 5.414, 2.377, 3.202, -24.184, -1.761, 14.008, 73.710, ?
-4.500, -12.330, -18.360, -3.080, 3.148, -4.684, 6.479, 4.436, -0.219, -21.976, -1.396, 14.744, 73.733, ?
-3.821, -13.552, -19.053, -2.481, 2.843, -5.658, 8.868, 4.319, -4.309, -17.624, -1.283, 15.400, 73.948, ?
-2.991, -13.305, -19.377, -2.646, 4.899, -8.592, 10.186, 4.023, -4.103, -16.007, -2.222, 14.425, 74.100, ?
-2.719, -12.196, -18.076, -3.476, 4.761, -8.815, 8.851, 4.147, -0.736, -15.017, -3.065, 15.167, 74.389, ?
-2.602, -12.220, -15.985, -3.459, 0.771, -9.493, 6.979, 5.933, -0.568, -15.699, -4.076, 12.498, 74.261, ?
-1.538, -12.518, -16.438, -3.777, -2.622, -8.075, 5.162, 3.715, -3.888, -14.978, -5.134, 12.285, 74.014, ?
-2.093, -11.590, -17.682, -5.984, -4.426, -6.333, 4.823, 0.926, -5.737, -16.262, -8.791, 15.299, 73.914, ?
-3.147, -13.362, -18.483, -11.279, -6.590, -6.656, -2.350, 1.048, -10.023, -15.763, -8.198, 12.373, 74.069, ?
-3.653, -14.365, -19.160, -11.454, -5.492, -8.648, -4.013, 3.278, -10.156, -14.361, -8.408, 11.124, 74.195, ?
-3.755, -12.612, -18.884, -10.108, -5.033, -12.162, -3.718, 5.920, -6.074, -14.256, -8.640, 11.126, 74.094, ?
-4.485, -11.113, -16.149, -10.525, -4.308, -16.895, -5.065, 8.826, -2.354, -15.856, -7.966, 10.893, 73.764, ?
-4.723, -9.653, -14.560, -10.337, -4.234, -17.726, -4.094, 10.003, 1.733, -14.837, -5.167, 9.493, 73.415, ?
-6.918, -8.616, -17.829, -12.025, -7.338, -17.262, -1.050, 6.354, 0.451, -13.028, -5.046, 6.384, 73.563, ?
-8.035, -6.684, -17.126, -10.231, -7.340, -14.693, 2.466, 9.237, 1.768, -8.828, -2.197, 3.396, 73.565, ?
-8.421, -4.649, -14.402, -10.454, -8.078, -16.153, -0.339, 9.455, 1.754, -10.351, -3.703, 0.740, 72.526, ?
-7.478, -3.083, -13.335, -11.337, -7.414, -15.664, -3.412, 7.240, -0.390, -11.799, -2.763, 1.148, 71.348, ?
-7.063, -3.071, -15.000, -9.530, -5.053, -14.487, -5.014, 6.758, -1.302, -13.609, -1.302, 4.141, 70.628, ?
-8.207, -1.924, -16.230, -6.208, -6.688, -9.981, -6.733, 4.861, -3.225, -16.040, 3.623, 6.954, 69.698, ?
-9.518, -0.170, -17.326, -2.967, -5.801, -7.796, -6.776, 3.809, -2.448, -12.923, 5.875, 5.057, 69.213, ?
-10.619, 1.176, -19.005, -1.395, -2.855, -3.337, -6.675, 2.025, -2.778, -12.702, 2.434, 2.009, 68.600, ?
-12.008, 1.439, -19.562, -0.983, -2.032, -1.105, -7.851, 3.745, 2.980, -12.011, 2.793, -0.897, 68.463, ?
-12.762, 2.059, -19.884, -1.572, -2.977, -1.232, -5.632, 4.200, 1.207, -12.117, 1.615, -3.200, 68.322, ?
-13.938, 2.262, -20.643, -2.201, -2.237, -3.306, -3.975, 5.506, -1.019, -12.209, 2.408, -2.734, 67.465, ?
-15.373, 2.888, -19.677, -3.001, -0.219, -2.491, -1.820, 2.247, -2.507, -10.041, 3.494, -4.827, 66.308, ?
-16.699, 1.734, -16.262, -1.321, -1.491, 0.202, 2.762, 2.255, 0.076, -10.436, -0.885, -5.996, 66.785, ?
-16.990, -1.530, -16.890, 1.736, 1.333, 2.781, 2.146, 3.714, 1.839, -11.665, -3.766, -4.558, 67.128, ?
-17.436, -1.319, -19.380, 0.511, 4.745, 2.128, 1.053, 5.906, 3.176, -9.972, -3.135, -2.882, 66.298, ?
-18.855, -0.713, -22.821, -1.428, 3.392, -5.306, 1.947, 7.672, 1.259, -8.812, -0.823, 0.415, 65.664, ?
-18.885, 1.098, -20.077, -2.297, 1.048, -7.930, 3.245, 9.125, -2.684, -12.258, -1.289, 1.684, 65.744, ?
-18.449, 4.929, -15.918, -3.464, 1.018, -11.216, 1.098, 6.188, -1.649, -10.267, -1.530, 4.178, 65.022, ?
-18.429, 6.359, -16.136, -4.493, 2.204, -9.560, 0.311, 0.980, -0.474, -8.011, 0.234, 4.880, 64.454, ?
-18.324, 5.453, -16.569, -5.466, 2.281, -7.979, -0.102, 4.597, 2.788, -7.260, -1.714, 2.675, 64.078, ?
-19.204, 2.968, -18.003, -8.145, 0.728, -4.412, 1.195, 4.563, 2.521, -2.128, 0.227, 3.879, 63.738, ?
-20.869, 1.599, -16.851, -6.553, -0.826, -4.909, 0.668, 2.490, -3.445, -5.129, 3.223, 4.638, 64.065, ?
-21.151, 3.968, -13.762, -1.800, 1.236, -6.586, -0.329, 4.372, -3.414, -8.435, 2.962, 2.625, 63.941, ?
-20.833, 6.286, -13.891, -0.745, 1.659, -8.321, -0.118, 4.965, -0.659, -5.041, 1.127, 2.100, 63.675, ?
-22.267, 3.511, -20.146, -6.258, -1.148, -7.220, -2.507, 2.785, -1.553, -8.093, 1.235, 6.217, 63.115, ?
-22.490, 4.581, -20.232, -8.863, -2.072, -5.323, -4.412, 3.886, 1.272, -6.403, 2.890, 9.861, 63.204, ?
-22.417, 6.340, -18.329, -7.872, -1.758, -5.610, 0.148, 6.161, -1.884, -6.612, 3.955, 6.497, 63.173, ?
-21.485, 7.709, -17.780, -5.545, 0.084, -5.448, 4.878, 8.019, -3.071, -6.312, 4.107, 4.458, 63.152, ?
-23.187, 5.104, -18.354, -7.374, 0.903, -4.143, 4.318, 7.566, 3.830, -5.151, -0.686, 3.437, 62.721, ?
-24.236, 3.186, -17.858, -6.120, -0.068, -5.622, 3.446, 8.100, 5.464, -5.368, -2.672, 5.799, 62.270, ?
-25.610, 2.530, -21.098, -6.477, -1.834, -5.912, 2.188, 8.231, 3.429, -7.771, -4.388, 4.482, 60.862, ?
-23.800, 7.341, -18.861, -5.316, 3.299, -1.439, 4.587, 10.044, 3.026, -7.444, -4.708, 3.027, 60.679, ?
-24.990, 7.833, -19.013, -6.078, 5.519, -2.117, 4.499, 7.460, 3.239, -5.206, -5.192, -0.011, 59.601, ?
-24.204, 8.766, -14.834, -0.288, 7.287, -5.586, 4.791, 3.486, -0.160, -3.535, -0.152, 1.371, 60.035, ?
-26.094, 7.537, -13.492, 1.042, 7.574, -6.433, 2.885, 1.988, -2.303, -5.294, 2.919, 3.493, 58.949, ?
-28.857, 6.013, -17.685, -3.039, 4.032, -9.604, 2.884, 6.627, 0.189, -4.467, 1.668, 2.492, 57.373, ?
-26.763, 10.065, -12.274, 0.345, 6.537, -13.640, 2.819, 8.342, 0.943, -4.657, 0.635, -0.732, 58.281, ?
-27.900, 8.335, -11.505, -1.161, 6.572, -13.449, 2.367, 9.669, 0.673, -7.918, 1.680, -1.142, 57.763, ?
-28.223, 7.790, -11.214, -1.896, 4.473, -8.623, 3.880, 9.575, -1.898, -4.312, 0.489, -0.548, 57.516, ?
-27.815, 9.274, -8.548, -1.016, 3.782, -5.667, 2.807, 8.566, -6.051, -3.075, 1.705, -0.503, 57.920, ?
-30.639, 4.867, -9.310, -4.976, 0.580, -4.248, 7.545, 8.698, -3.355, -5.770, 0.971, 0.887, 57.448, ?
-27.941, 6.634, -4.592, -2.258, 0.763, -6.044, 7.834, 5.017, 0.252, -6.144, -1.879, 1.804, 59.102, ?
-26.694, 7.527, -6.463, -4.620, -0.613, -7.308, 3.892, 6.479, 1.862, -3.039, -1.517, 1.969, 58.933, ?
-18.633, 14.977, -7.589, -4.489, 0.574, -9.588, 0.181, 2.647, -2.714, -2.687, -1.678, -1.336, 60.546, ?
-10.706, 16.313, -18.061, -17.021, -3.358, -8.420, 0.397, -7.368, -5.920, -0.889, 1.799, -3.210, 63.770, ?
-5.873, 14.944, -20.837, -19.741, -3.127, -5.219, -1.688, -8.560, -4.903, 1.977, 6.023, -2.402, 66.626, ?
-3.639, 11.553, -20.322, -21.785, -0.616, -3.453, -4.465, -1.854, -5.389, 0.606, 7.302, 1.829, 69.085, ?
-3.085, 10.340, -20.213, -24.498, 0.048, -2.293, -4.844, 0.533, -6.281, 0.721, 5.559, 5.700, 70.003, ?
-2.953, 10.069, -21.220, -23.137, 0.455, -0.284, -2.896, 1.774, -3.516, -1.071, 4.522, 4.100, 69.710, ?
-1.888, 9.990, -23.424, -21.523, -1.422, 0.885, 0.851, 4.023, 0.352, -1.939, 7.027, 2.733, 68.324, ?
-1.202, 11.492, -24.042, -21.015, -1.902, -0.687, 6.112, 2.957, -0.873, -1.705, 3.146, 5.333, 67.179, ?
-0.938, 12.980, -22.823, -21.607, -3.780, 0.672, 8.127, 2.851, -2.056, 1.125, -2.637, 5.186, 66.314, ?
-0.368, 14.118, -22.175, -21.994, -2.909, -0.835, 6.879, 2.640, -1.125, 2.368, -5.379, 3.656, 65.753, ?
-0.500, 15.141, -21.985, -21.206, -1.732, -1.828, 6.978, 5.177, 0.193, -2.267, -4.017, 3.570, 65.349, ?
-1.102, 15.343, -21.118, -20.484, -1.252, -2.985, 9.826, 5.177, 1.344, -4.375, -5.333, 0.602, 64.970, ?
-1.027, 15.205, -20.581, -20.188, -3.293, -0.275, 11.583, 5.276, -1.076, -5.625, -5.606, -1.871, 64.372, ?
-0.568, 16.870, -20.479, -22.019, -6.742, 1.659, 10.203, 3.519, -2.433, -3.466, -1.939, 0.196, 63.746, ?
-0.054, 15.357, -20.886, -19.672, -7.351, 0.595, 10.085, 3.500, -1.113, -2.338, -3.787, 2.187, 63.602, ?
0.642, 16.309, -21.618, -20.264, -8.972, 3.151, 8.839, 2.113, -0.365, 1.060, -4.468, -1.319, 62.861, ?
1.046, 15.693, -22.118, -18.361, -7.619, 1.412, 6.244, 4.691, 0.629, 0.653, -5.432, 0.153, 62.531, ?
1.246, 15.574, -21.922, -18.847, -6.803, 0.579, 4.985, 5.507, 2.077, -0.141, -4.442, 1.334, 62.019, ?
1.393, 16.588, -21.856, -21.265, -5.365, 0.439, 4.815, 4.849, 2.800, -2.177, -0.597, 0.226, 61.684, ?
1.546, 14.275, -20.115, -20.512, -6.056, 0.530, 5.865, 2.401, 4.777, -2.197, -1.356, -1.194, 62.224, ?
1.785, 14.414, -19.764, -23.051, -5.645, 1.352, 6.156, 3.051, 2.999, -2.571, -2.363, 1.384, 62.163, ?
2.231, 14.136, -20.828, -20.790, -6.963, 0.193, 6.605, 6.805, 0.396, -3.603, -3.171, 2.168, 62.123, ?
2.407, 14.468, -23.281, -17.578, -9.404, 1.012, 6.222, 6.975, -0.471, -1.333, -4.081, 1.745, 62.635, ?
2.849, 16.320, -24.978, -19.158, -11.787, 3.801, 6.491, 5.844, -1.158, -1.780, -2.531, 2.490, 62.571, ?
3.338, 14.362, -24.533, -19.167, -13.242, 6.413, 6.035, 4.972, -0.937, -1.970, -2.262, 4.793, 63.440, ?
3.186, 12.260, -24.436, -19.394, -14.757, 10.108, 3.912, 6.052, -3.260, -0.330, -1.406, 5.168, 64.604, ?
2.913, 10.235, -23.931, -20.431, -16.513, 14.548, 0.750, 7.189, -5.011, -0.099, 1.110, 4.505, 65.510, ?
2.591, 8.181, -21.666, -21.721, -16.152, 18.261, -2.960, 8.014, -2.588, -0.287, 0.342, 6.030, 66.384, ?
1.361, 7.298, -19.184, -24.611, -13.754, 19.005, -7.472, 11.941, -1.938, -1.155, 1.915, 5.820, 67.224, ?
